StationTime,Attractiveness,Closeness Centrality,Degree Centerality,Betweenness Centrality
15121,19.78622119,279.5863171,3,336
15122,15.1447851,278.0139507,3,336
15123,15.1447851,277.2601176,3,336
15124,16.48373566,276.4340609,3,336
15128,17.72604675,273.3961586,2,201
15129,12.09750165,272.9914059,2,240
15130,10.21691633,272.5640834,1,186
15131,24.07741221,270.6983088,2,221
15132,16.31101224,270.9932216,4,326
15133,19.28389549,271.1572292,4,326
15134,10.21691633,272.728091,1,186
